192.168.65.1 - - [13/Aug/2025:04:51:37 +0000] "GET / HTTP/1.1" 200 507 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.26100.4652" "-"
192.168.65.1 - - [13/Aug/2025:12:47:41 +0000] "GET /api/mermaid-flow/marketing HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:25 +0000] "GET /login/ HTTP/1.1" 200 507 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:25 +0000] "GET /static/css/app.88184e13d7c13849c47b3da039debfc9.css HTTP/1.1" 200 57598 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:25 +0000] "GET /static/js/app.4e21f7ac9535297b3c4b.js HTTP/1.1" 200 86970 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:25 +0000] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200 "http://localhost:8080/static/css/app.88184e13d7c13849c47b3da039debfc9.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:33 +0000] "GET /api/flow-summary HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:33 +0000] "GET /api/total-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:33 +0000] "GET /api/flow-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:34 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:34 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:34 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:34 +0000] "GET /api/mermaid-flow/purchase HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:34 +0000] "GET /static/mermaid.min.js HTTP/1.1" 200 879351 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:37 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:13:02:37 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
